external_study,cohort_type,type_tag,n_total,n_healthy,n_disease,n_correct,metric_name,facet_group,metric,ci_lower,ci_upper,model_type,omitted_training_study,input_taxa_n,retained_taxa_n,lambda_1se
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.916666666666667,,,LODO models,ChenLW_2022,187,75,0.0290436741442366
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.833333333333333,,,LODO models,ChenBY_2023,168,42,0.0498679257812825
BritoIL_2016,Healthy-only,H-only,115,115,0,49,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.426086956521739,,,LODO models,ChenBY_2023,168,42,0.0498679257812825
CaselliE_2020,Healthy-only,H-only,54,54,0,41,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.759259259259259,,,LODO models,ChenBY_2023,168,42,0.0498679257812825
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.650111193476649,,,LODO models,ChenBY_2023,168,42,0.0498679257812825
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.355119825708061,,,LODO models,ChenBY_2023,168,42,0.0498679257812825
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.787878787878788,,,LODO models,ChenBY_2023,168,42,0.0498679257812825
LassalleF_2017,Healthy-only,H-only,24,24,0,4,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.166666666666667,,,LODO models,ChenBY_2023,168,42,0.0498679257812825
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.606066093254866,,,LODO models,ChenBY_2023,168,42,0.0498679257812825
PlachokovaA_2021,Disease-only,D-only,7,0,7,7,Disease CCR,Single-class cohorts: expected-direction classification rate,1,,,LODO models,ChenBY_2023,168,42,0.0498679257812825
ShalonD_2023,Healthy-only,H-only,29,29,0,14,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.482758620689655,,,LODO models,ChenBY_2023,168,42,0.0498679257812825
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.930555555555556,,,LODO models,ChenBY_2023,168,42,0.0498679257812825
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.828042328042328,,,LODO models,ZellerG_2014,175,40,0.0491677612031796
BritoIL_2016,Healthy-only,H-only,115,115,0,39,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.339130434782609,,,LODO models,ZellerG_2014,175,40,0.0491677612031796
CaselliE_2020,Healthy-only,H-only,54,54,0,43,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.796296296296296,,,LODO models,ZellerG_2014,175,40,0.0491677612031796
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.625648628613788,,,LODO models,ZellerG_2014,175,40,0.0491677612031796
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.363834422657952,,,LODO models,ZellerG_2014,175,40,0.0491677612031796
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.858585858585859,,,LODO models,ZellerG_2014,175,40,0.0491677612031796
LassalleF_2017,Healthy-only,H-only,24,24,0,1,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.0416666666666667,,,LODO models,ZellerG_2014,175,40,0.0491677612031796
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.613218650973291,,,LODO models,ZellerG_2014,175,40,0.0491677612031796
PlachokovaA_2021,Disease-only,D-only,7,0,7,7,Disease CCR,Single-class cohorts: expected-direction classification rate,1,,,LODO models,ZellerG_2014,175,40,0.0491677612031796
ShalonD_2023,Healthy-only,H-only,29,29,0,14,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.482758620689655,,,LODO models,ZellerG_2014,175,40,0.0491677612031796
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.888888888888889,,,LODO models,ZellerG_2014,175,40,0.0491677612031796
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.840608465608466,,,LODO models,BuschartA_2016,176,46,0.0441739967186967
BritoIL_2016,Healthy-only,H-only,115,115,0,56,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.486956521739131,,,LODO models,BuschartA_2016,176,46,0.0441739967186967
CaselliE_2020,Healthy-only,H-only,54,54,0,41,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.759259259259259,,,LODO models,BuschartA_2016,176,46,0.0441739967186967
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.633061527057079,,,LODO models,BuschartA_2016,176,46,0.0441739967186967
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.363834422657952,,,LODO models,BuschartA_2016,176,46,0.0441739967186967
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.909090909090909,,,LODO models,BuschartA_2016,176,46,0.0441739967186967
LassalleF_2017,Healthy-only,H-only,24,24,0,3,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.125,,,LODO models,BuschartA_2016,176,46,0.0441739967186967
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.618107741059303,,,LODO models,BuschartA_2016,176,46,0.0441739967186967
PlachokovaA_2021,Disease-only,D-only,7,0,7,6,Disease CCR,Single-class cohorts: expected-direction classification rate,0.857142857142857,,,LODO models,BuschartA_2016,176,46,0.0441739967186967
ShalonD_2023,Healthy-only,H-only,29,29,0,14,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.482758620689655,,,LODO models,BuschartA_2016,176,46,0.0441739967186967
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.930555555555556,,,LODO models,BuschartA_2016,176,46,0.0441739967186967
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.82473544973545,,,LODO models,VQuintanaL_2024,172,45,0.0453596050839319
BritoIL_2016,Healthy-only,H-only,115,115,0,35,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.304347826086957,,,LODO models,VQuintanaL_2024,172,45,0.0453596050839319
CaselliE_2020,Healthy-only,H-only,54,54,0,40,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.740740740740741,,,LODO models,VQuintanaL_2024,172,45,0.0453596050839319
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.627131208302446,,,LODO models,VQuintanaL_2024,172,45,0.0453596050839319
