level,alpha,prev_cutoff,total_taxa_n,input_taxa_n,retained_taxa_n,train_cv_auc,train_cv_auc_ci_lower,train_cv_auc_ci_upper,train_auc,train_auc_ci_lower,train_auc_ci_upper,external_auc,external_auc_ci_lower,external_auc_ci_upper,train_loso_mean,train_loso_sd,train_isv_mean,train_isv_weighted_mean,train_loso_weighted_mean,status,rank_within_level,is_best
family,0.5,0.3,177,52,15,0.727523419700697,0.699142058822593,0.7559047805788,0.751475148519493,0.722744760393668,0.780205536645319,0.600690007666752,0.557527543065225,0.643852472268279,0.634138108293272,0.0929731118320307,0.542998765082799,0.509278818374797,0.605855306302563,OK,1,TRUE
family,1,0.01,177,104,35,0.766247181382133,0.741596743723711,0.790897619040556,0.806144387068255,0.780604678382543,0.831684095753968,0.663191072493398,0.620859614310728,0.705522530676068,0.622583881285749,0.110859120711524,0.537860832090554,0.496523076585901,0.596905241128631,OK,5,FALSE
family,1,0.05,177,85,32,0.765784763271505,0.740872240135422,0.790697286407589,0.802738652574896,0.776950354544279,0.828526950605513,0.657100264077008,0.614540703715378,0.699659824438639,0.61921360144594,0.114000047583317,0.546970654749314,0.511357946875981,0.592699955847985,OK,9,FALSE
family,1,0.1,177,75,32,0.765656339763701,0.740794059395402,0.790518620132,0.802011961930787,0.776156178435288,0.827867745426286,0.654715052389471,0.612082744543083,0.69734736023586,0.61697173065348,0.115861878382737,0.544325300372646,0.51233684553736,0.588508667379367,OK,13,FALSE
family,1,0.2,177,61,20,0.740341344234923,0.71269260643266,0.767990082037187,0.768527262619971,0.740850282935543,0.7962042423044,0.604608569724849,0.561668936036388,0.64754820341331,0.621022024352519,0.109643395008601,0.553706862971053,0.519120573605334,0.586346296474765,OK,14,FALSE
family,1,0.3,177,52,15,0.728178183829748,0.700369986199863,0.755986381459633,0.752198490358791,0.723483075972311,0.780913904745271,0.598969247806457,0.555710439063358,0.642228056549557,0.627216480618196,0.0850431524824012,0.544968788816453,0.512557658572285,0.602673129829552,OK,3,FALSE
genus,0.1,0.01,415,237,81,0.808709410240696,0.781774295707779,0.835644524773614,0.850154379901813,0.827851929989699,0.872456829813927,0.698654059119176,0.658404820192018,0.738903298046333,0.648329092244725,0.127514192781328,0.46315429211555,0.418909374490377,0.615635723666408,OK,9,FALSE
genus,0.1,0.05,415,187,82,0.81146855096749,0.786030726721414,0.836906375213566,0.853750996269431,0.831703063871874,0.875798928666989,0.697606269699293,0.657385172483185,0.7378273669154,0.670909124987135,0.12946908873846,0.464037846905287,0.421485183633505,0.6418062479449,OK,2,FALSE
genus,0.1,0.1,415,152,56,0.799083773319843,0.769675377825609,0.828492168814078,0.831156610205818,0.807186725463397,0.855126494948239,0.699957406934151,0.659953012793654,0.739961801074649,0.662390596091868,0.122725193038766,0.460665647551891,0.427234976466966,0.63634553801239,OK,3,FALSE
genus,0.1,0.2,415,101,49,0.763502627348771,0.733289117268759,0.793716137428784,0.805625322322463,0.780185367021661,0.831065277623266,0.676658999914814,0.635656996039675,0.717661003789953,0.653076161010981,0.131724536867951,0.495701975768779,0.462863540173896,0.597264887812295,OK,10,FALSE
genus,0.1,0.3,415,74,35,0.747115698363325,0.724779686480356,0.769451710246294,0.781450300387792,0.754275172664625,0.808625428110958,0.626935854842832,0.584099479585098,0.669772230100565,0.637177602695866,0.118244451492006,0.490639976047714,0.477624230222071,0.586617110630406,OK,12,FALSE
genus,0.5,0.01,415,237,58,0.802244868307096,0.77402268683685,0.830467049777343,0.845024010930499,0.822430365590294,0.867617656270704,0.697674418604651,0.656715994715755,0.738632842493548,0.654518861189053,0.117045821724508,0.464732345613279,0.434684784234545,0.619390079176198,OK,7,FALSE
genus,0.5,0.05,415,187,59,0.805696206429989,0.77858421890946,0.832808193950518,0.850737071939025,0.828584070209807,0.872890073668242,0.694548087571343,0.65355540792902,0.735540767213667,0.671582771032466,0.116625181135073,0.470349061836956,0.437515488835682,0.640597105096302,OK,1,TRUE
genus,0.5,0.1,415,152,41,0.79553462315273,0.765235450989634,0.825833795315826,0.829247791463227,0.8052440476187,0.853251535307753,0.696481812760883,0.655699588179095,0.73726403734267,0.65265326944791,0.0964930132485349,0.47184814703766,0.454348596094805,0.623996237863809,OK,5,FALSE
genus,0.5,0.2,415,101,37,0.760096709777757,0.732934489332651,0.787258930222862,0.804831655582123,0.779299901304841,0.830363409859405,0.670040037481898,0.628472421823899,0.711607653139897,0.633390357688256,0.12245454091303,0.509643839378714,0.48006439345768,0.577275527748604,OK,15,FALSE
genus,0.5,0.3,415,74,27,0.745604593103788,0.726944591883997,0.76426459432358,0.78178852967376,0.75460910419277,0.808967955154749,0.619550217224636,0.576289275659472,0.662811158789799,0.623399801046559,0.10664345269547,0.489599528717892,0.486930270255801,0.581944611002973,OK,13,FALSE
genus,1,0.01,415,237,50,0.800997657133363,0.772741509480394,0.829253804786332,0.844880012323602,0.82230058434717,0.867459440300033,0.69619217991311,0.654951353271781,0.737433006554439,0.65164320148694,0.107530333448723,0.472843585654891,0.441762927286936,0.617807007341471,OK,8,FALSE
genus,1,0.05,415,187,53,0.805432868701174,0.778341764361215,0.832523973041133,0.850485911578158,0.828333240216176,0.87263858294014,0.692188431723316,0.650938791896804,0.733438071549827,0.667773220204592,0.10766734749547,0.475618531237419,0.44604777077167,0.636291069328218,OK,4,FALSE
